SourceID,TargetID,ReferenceText,ReferenceType,SourceDocumentID,TargetDocumentID,SourcePassageID,TargetPassageID,SourcePassage,TargetPassage
54721870-44ed-4aad-a842-fe0cd9ded618,2bb23374-a3ae-4dd1-af3e-7222ecda1e98,4.5.1,Internal,1,1,4.5.4.Guidance.1.,4.5.1,"The records required to be kept under Rule 4.5.1 may be kept in electronic format, provided that such records are readily accessible and available to respond promptly to any requests from the Regulator for information.","A Relevant Person must, where relevant, maintain the following records:
(a)	a copy of all documents and information obtained in undertaking initial and ongoing CDD or due diligence on business partners;
(b)	records, consisting of the original documents or certified copies, in respect of the customer business relationship, including:
(i)	business correspondence and other information relating to a customer’s account;
(ii)	sufficient records of transactions to enable individual transactions to be reconstructed; and
(iii)	internal findings and analysis relating to a transaction or any business, if the transaction or business appears unusual or suspicious, whether or not it results in a Suspicious Activity/Transaction Report;
(c)	internal notifications of suspicious activity made to its MLRO under Rule ‎‎14.2.2;
(d)	Suspicious Activity/Transaction Reports and any relevant supporting documents and information, including internal findings and analysis;
(e)	any relevant communications with the FIU;
(f)	the documents in Rule ‎4.6.1; and
(g)	any other matter that the Relevant Person is expressly required to record under these Rules,
for at least six years from the date on which the notification or report was made, the business relationship ends or the Transaction is completed, whichever occurs last."
1c5a2e03-760c-4263-88bd-eb100e0368b4,2bb23374-a3ae-4dd1-af3e-7222ecda1e98,4.5.1,Internal,1,1,4.5.5,4.5.1,"Where the records referred to in Rule 4.5.1 are kept by a Relevant Person outside the ADGM, a Relevant Person must:
(a)	take reasonable steps to ensure that the records are held in a manner consistent with these Rules;
(b)	ensure that the records are easily accessible to the Relevant Person; and
(c)	upon request by the Regulator, ensure that the records are immediately available for inspection.","A Relevant Person must, where relevant, maintain the following records:
(a)	a copy of all documents and information obtained in undertaking initial and ongoing CDD or due diligence on business partners;
(b)	records, consisting of the original documents or certified copies, in respect of the customer business relationship, including:
(i)	business correspondence and other information relating to a customer’s account;
(ii)	sufficient records of transactions to enable individual transactions to be reconstructed; and
(iii)	internal findings and analysis relating to a transaction or any business, if the transaction or business appears unusual or suspicious, whether or not it results in a Suspicious Activity/Transaction Report;
(c)	internal notifications of suspicious activity made to its MLRO under Rule ‎‎14.2.2;
(d)	Suspicious Activity/Transaction Reports and any relevant supporting documents and information, including internal findings and analysis;
(e)	any relevant communications with the FIU;
(f)	the documents in Rule ‎4.6.1; and
(g)	any other matter that the Relevant Person is expressly required to record under these Rules,
for at least six years from the date on which the notification or report was made, the business relationship ends or the Transaction is completed, whichever occurs last."
50279685-f928-402a-9067-3395e25f069e,98535bf7-b2a1-4582-b10d-34223643513f,4.5.7,Internal,1,1,4.5.7.Guidance,4.5.7,"
The Regulator considers that ""appropriate measures"" in Rule 4.5.7 may include the maintenance of a training log setting out details of:
(a)	the dates when the training was given;
(b)	the nature of the training; and
(c)	the names of Employees who received the training.","A Relevant Person must be able to demonstrate that it has complied with the training and awareness requirements in Chapter ‎13 through appropriate measures, including the maintenance of relevant training records."
bb51c6c0-5515-4091-9e92-a671edcc2bb4,c583c762-1740-4364-8f60-66ff7bd606e1,4.8.1,Internal,1,1,4.8.1.Guidance,4.8.1,"
The Regulator considers that a ""relevant body"" in Rule 4.8.1 would include the FIU, any other financial intelligence unit, the police, or an Abu Dhabi or Federal ministry or authority.

",A Relevant Person must ensure that it does not prejudice an Employee who discloses any information regarding money laundering to the Regulator or to any other relevant body involved in the prevention of money laundering.
34201eec-cbf5-469f-a0c2-759935e137f1,8112ad15-b59b-429c-b290-deaa07c5363d,5.1.1(b)(iii),Internal,1,1,5.1.1.Guidance.5.,5.1.1,"Section 4.5 sets out the requirements regarding record-keeping for the purposes of the AML Rulebook. These Rules apply in relation to Rule 5.1.1(b)(iii).

","A Relevant Person must:
(a)	assess and address its money laundering risks under the AML Rulebook by reviewing the risks to which the Relevant Person is exposed as a result of the nature of its business, customers, products, services and any other matters which are relevant in the context of money laundering; and
(b)	ensure that any risk-based assessment undertaken for the purposes of complying with a requirement in the AML Rulebook is:
(i)	objective and proportionate to the risks;
(ii)	based on reasonable grounds;
(iii)	properly documented; and
(iv)	updated at appropriate intervals."
ac18b496-611a-4e30-a116-e1b6de731366,d5e66919-26a5-4837-a674-f341bb44ed42,5.5.1,External,1,7,12.1.3.Guidance.1.,5.5.1,"Authorised Persons are reminded that under GEN Rule 5.5.1 the MLRO function is a mandatory appointment. For the avoidance of doubt, the individual appointed as the MLRO of an Authorised Person, other than a Representative Office, is the same individual who holds the Controlled Function of MLRO of that Authorised Person. Authorised Persons are also reminded that the guidance under GEN Rule 5.5.2 sets out the grounds under which the Regulator will determine whether to grant a waiver from the residence requirements for an MLRO. The same guidance is relevant to other Relevant Persons seeking a waiver from the MLRO residence requirements.",
ac18b496-611a-4e30-a116-e1b6de731366,2710afc2-0e16-4e0a-8581-bed4f4073ae9,5.5.2,External,1,7,12.1.3.Guidance.1.,5.5.2,"Authorised Persons are reminded that under GEN Rule 5.5.1 the MLRO function is a mandatory appointment. For the avoidance of doubt, the individual appointed as the MLRO of an Authorised Person, other than a Representative Office, is the same individual who holds the Controlled Function of MLRO of that Authorised Person. Authorised Persons are also reminded that the guidance under GEN Rule 5.5.2 sets out the grounds under which the Regulator will determine whether to grant a waiver from the residence requirements for an MLRO. The same guidance is relevant to other Relevant Persons seeking a waiver from the MLRO residence requirements.","The Approved Persons referred to in Rule ‎5.5.1(1)(a), ‎(c) and ‎(d) must be resident in the U.A.E."
cb40cc9f-1271-40bd-8bc6-2f4e6fce615a,b31546a3-317e-4665-83f0-55a2d2ff166c,6.1,Internal,1,1,8.3.2.Guidance on CDD.9.,6.1,"When employing an eKYC System to assist with CDD, a Relevant Person should:
a.	ensure that it has a thorough understanding of the eKYC System itself and the risks of eKYC, including those outlined by relevant guidance from FATF and other international standard setting bodies;
b.	comply with all the Rules of the Regulator relevant to eKYC including, but not limited to, applicable requirements regarding the business risk assessment, as per Rule 6.1, and outsourcing, as per Rule 9.3;
c.	combine eKYC with transaction monitoring, anti-fraud and cyber-security measures to support a wider framework preventing applicable Financial Crime; and
d.	take appropriate steps to identify, assess and mitigate the risk of the eKYC system being misused for the purposes of Financial Crime.",Assessing the money laundering risks of a business
31f0a7bd-a9fa-4aab-a4b4-32d0a6fb51b2,e86229e2-4422-4a87-a0f6-ff61d6a28851,6.1.1(b),Internal,1,1,6.1.3.Guidance.7.,6.1.1,"A business risk assessment under Rule 6.1.1(b) should include an assessment of the risks associated with the carrying on of NFTF business, particularly the use of eKYC Systems. The assessment should consider incorporating any relevant mitigation measures identified by the Regulator, a competent authority of the U.A.E., FATF, and any other relevant bodies.

","A Relevant Person must:
(a)	take appropriate steps to identify and assess money laundering risks to which its business is exposed, taking into consideration the nature, size and complexity of its activities. Relevant Persons must take into account that money laundering risks include the risk of terrorist financing, proliferation financing, the financing of unlawful organisations and sanctions non-compliance including non-compliance with Targeted Financial Sanctions.
(b)	when identifying and assessing the risks in (a), take into account, to the extent relevant, any vulnerabilities relating to:
(i)	its type of customers and their activities;
(ii)	the countries or geographic areas in which it does business;
(iii)	its products, services and activity profiles;
(iv)	its distribution channels and business partners;
(v)	the complexity and volume of its Transactions;
(vi)	the development of new products and business practices including new delivery mechanisms, channels and partners;
(vii)	the use of new or developing technologies for both new and pre existing products and services; and
(c)	take appropriate measures to ensure that any risk identified as part of the assessment in (a) is taken into account in its day-to-day operations and is mitigated, including in relation to:
(i)	the development of new products;
(ii)	the taking on of new customers; and
(iii)	changes to its business profile."
c24c6dfe-b5fa-4802-81ab-5894795d4362,f0c3d08f-8696-42f8-b449-86c97c8f6d4d,6.2.1(c),Internal,1,1,6.2.1.Guidance.2.,6.2.1,"The risk assessment under Rule 6.2.1(c) should identify actions to mitigate risks associated with undertaking NFTF business generally, and the use of eKYC specifically. This is because distinct risks are often likely to arise where business is conducted entirely in an NFTF manner, compared to when the business relationship includes a mix of face-to-face and NFTF interactions. The assessment should make reference to risk mitigation measures recommended by the Regulator, a competent authority of the U.A.E., FATF, and other relevant bodies.

","A Relevant Person must:
(a)	establish and maintain effective policies, procedures, systems and controls to prevent opportunities for money laundering in relation to the Relevant Person and its activities;
(b)	ensure that its systems and controls in (a):
(i)	include the provision to the Relevant Person's Senior Management of regular management information on the operation and effectiveness of its AML/TFS systems and controls necessary to identify, measure, manage and control the Relevant Person's money laundering risks;
(ii)	enable it to determine whether a customer or a Beneficial Owner is a PEP;
(iii)	enable the Relevant Person to comply with these Rules and Federal AML Legislation; and
(iv)	enable the Relevant Person to comply with the Penal Code; and
(c)	ensure that regular risk assessments are carried out on the adequacy of the Relevant Person's AML/TFS systems and controls to ensure that they continue to enable it to identify, assess, monitor and manage money laundering risk adequately, and are comprehensive and proportionate to the nature, scale and complexity of its activities."
d9e3fef9-b049-4b8f-9140-4d98002c3dab,938ee9c6-a91c-4702-9039-d34906f00b5c,7.1.2(1)(c),Internal,1,1,7.1.2.(2),7.1.2.(1),"For the purposes of 7.1.2(1)(c), a credible source includes, but is not limited to, mutual evaluations, detailed assessment reports or follow-up reports issued by FATF, the International Monetary Fund (IMF), the World Bank, the OECD and other International Organisations.","When undertaking a risk-based assessment of a customer and considering whether or not to assign a high-risk rating under ‎7.1.1(1)(b), a Relevant Person must take into account all relevant risk factors that would reasonably apply to the customer, including but not limited to:
(a)	customer risk factors, including whether the:
(i)	business relationship is conducted in unusual circumstances;
(ii)	customer is resident, established, registered or conducts business in a geographical area or jurisdiction of high risk (as set out in paragraph (c));
(iii)	customer is a Legal Person or a Legal Arrangement that is a vehicle for holding personal assets;
(iv)	customer is a company that has nominee shareholders or shares in bearer form;
(v)	customer is a business that is cash intensive, such as a business that receives a majority of its revenue in cash;
(vi)	corporate structure of the customer or any group to which it belongs is unusual or excessively complex given the nature of the business;
(b)	product, service, transaction or delivery channel risk factors, including whether:
(i)	the service involves private banking;
(ii)	the product, service or transaction is one that might allow for anonymity or obfuscation of the true identity of any of the parties involved in the transaction;
(iii)	the situation involves NFTF business relationships or transactions, or lacks appropriate safeguards, such as electronic signatures or eKYC;
(iv)	payments will be received from unknown or unassociated third parties;
(v)	the service involves the provision of nominee directors, nominee shareholders or shadow directors, or the formation of companies in another country;
(vi)	new products and new business practices are involved, including new delivery mechanisms or the use of new or developing technologies for both new and pre-existing products; and
(c)	geographical or jurisdictional risk factors, including whether the relevant country or countries:
(i)	are identified by credible sources, as:
(A)	not having effective systems to counter money laundering; or
(B)	not implementing requirements to counter money laundering that are consistent with FATF Recommendations;
(ii)	are identified by credible sources as having significant levels of corruption or other criminal activity, such as terrorism, money laundering or the production and supply of illicit drugs;
(iii)	are subject to Sanctions, embargos or similar measures issued by, for example, the United Nations or the State;
(iv)	are identified by credible sources as providing funding or support for terrorism;
(v)	have organisations operating within their territory that have been designated by the State, other countries or International Organisations as terrorist organisations."
0ab1cb10-020d-43a9-94ea-fd6de14133ff,644bee29-fba0-448c-a5c0-c58e957e6e90,7.1.3(1)(c),Internal,1,1,7.1.3.(2),7.1.3.(1),"For the purposes of 7.1.3(1)(c), a credible source includes, but is not limited to, mutual evaluations, detailed assessment reports or follow-up reports issued by FATF, the IMF, the World Bank, the OECD and other International Organisations.","When undertaking a risk-based assessment of a customer and considering whether or not to assign a low-risk rating under ‎7.1.1(1), a Relevant Person must take into account all relevant risk factors that would reasonably apply to the customer, including but not limited to:
(a)	customer risk factors, including whether the customer is:
(i)	a public body or a publicly owned enterprise;
(ii)	resident, established, registered or conducts business in a geographical area or jurisdiction of lower risk (as set out in paragraph (c));
(iii)	an Authorised Person or Recognised Body;
(iv)	a Regulated Financial Institution that is subject to regulation and supervision, including AML/TFS regulation and supervision, in a jurisdiction with AML/TFS regulations that are equivalent to the standards set out in the FATF Recommendations;
(v)	a Subsidiary of a Regulated Financial Institution referred to in (iv), if the law that applies to the Parent ensures that the Subsidiary also observes the same AML/TFS standards as its Parent;
(vi)	a company whose Securities are listed by the Regulator, another Financial Services Regulator or a Regulated Exchange, which is subject to disclosure obligations broadly equivalent to those set out in the Market Rules;
(vii)	a law firm, notary firm or other legal business that carries on its business in the ADGM;
(viii)	an accounting firm, insolvency firm, auditor or other audit firm that carries on its business in the ADGM;
(b)	product, service, transaction or delivery channel risk factors, including whether the product or service is:
(i)	a Contract of Insurance which is non-life insurance;
(ii)	a Contract of Insurance which is a life insurance product with no investment return or redemption or surrender value;
(iii)	an insurance policy for a pension scheme that does not provide for an early surrender option, and cannot be used as collateral;
(iv)	a pension, superannuation or similar scheme that satisfies the following conditions:
(A)	the scheme provides retirement benefits to employees;
(B)	contributions to the scheme are made by way of deductions from wages; and
(C)	the scheme rules do not permit the assignment of a member’s interest under the scheme;
(v)	a product where the risks of money laundering are adequately managed by other factors such as transaction limits or transparency of ownership; and
(c)	geographical and jurisdictional risk factors, including whether a country or countries:
(i)	are identified by credible sources as having effective systems to counter money laundering;
(ii)	are identified by credible sources as having a low level of corruption or other criminal activity, such as terrorism, money laundering, or the production and supply of illicit drugs;
(iii)	have been assessed by credible sources, as having:
(A)	requirements to counter money laundering that are consistent with the FATF Recommendations; and
(B)	effectively implement FATF Recommendations."
10448f13-24a6-4b31-831f-779fc02b8131,b2f33a11-b7ac-4936-b314-afb6f0d5a427,7.2.3,Internal,1,1,7.2.4.Guidance on anonymous accounts,7.2.3,"
A Relevant Person should note that, in addition to the prohibition in Rule 7.2.3 against knowingly establishing anonymous accounts, accounts in a fictitious name or nominee accounts, the Federal AML Legislation also prohibits the opening of accounts held under borrowed, mock or fake names or accounts designated solely with numbers and without the names of account holders.","A Relevant Person must not knowingly establish or maintain an anonymous account, an account in a fictitious name, or a nominee account which is held in the name of one Person but which is controlled by or held for the benefit of another Person whose true identity has not been disclosed to the Relevant Person."
06794d47-81ee-49d0-bf3a-58e87a031da4,8fdad81d-b309-441b-a66d-afa6d42d5275,9.1.1(3),Internal,1,1,9.1.2.(1),9.1.1.(3),"When assessing under Rule 9.1.1(3) or (4) if AML/TFS regulations in another jurisdiction are equivalent to FATF standards, a Relevant Person must take into account factors including, but not limited to:
(a)	mutual evaluations, assessment reports or follow-up reports published by FATF, the IMF, the World Bank, the OECD or other International Organisations;
(b)	membership of FATF or other international or regional groups such as the MENAFATF or the Gulf Co-operation Council;
(c)	contextual factors such as political stability or the level of corruption in the jurisdiction;
(d)	evidence of recent criticism of the jurisdiction, including in:
(i)	FATF advisory notices;
(ii)	public assessments of the jurisdictions AML/TFS regimes by organisations referred to in (a); or
(iii)	reports by other relevant non-government organisations or specialist commercial organisations;
(e)	whether adequate arrangements exist for co-operation between the AML/TFS regulator in that jurisdiction and the Regulator.","Where a Relevant Person seeks to rely on a Person in (1) it may only do so if and to the extent that:
(a)	it immediately obtains the necessary CDD information from the third party in (1);
(b)	it takes adequate steps to satisfy itself that certified copies of the documents used to undertake the relevant elements of CDD will be available from the third party on request without delay;
(c)	the Person in (1)(b) to (d) is subject to regulation, including AML/TFS compliance requirements, by a Non-ADGM Financial Services Regulator or other competent authority in a country with AML/TFS regulations which are equivalent to the standards set out in the FATF Recommendations and it is supervised for compliance with such regulations;
(d)	the Person in (1) has not relied on any exception from the requirement to conduct any relevant elements of CDD which the Relevant Person seeks to rely on; and
(e)	in relation to (2), the information is up to date."
8a894691-4b15-41d9-849e-d49810c564ac,8fdad81d-b309-441b-a66d-afa6d42d5275,9.1.1(3)(c),Internal,1,1,9.1.2.Guidance.5.,9.1.1.(3),"If a Relevant Person relies on a third party located in a foreign jurisdiction to conduct one or more elements of CDD on its behalf, the Relevant Person must ensure that the foreign jurisdiction has AML/TFS regulations which are equivalent to the standards in the FATF Recommendations (see Rule 9.1.1(3)(c)).","Where a Relevant Person seeks to rely on a Person in (1) it may only do so if and to the extent that:
(a)	it immediately obtains the necessary CDD information from the third party in (1);
(b)	it takes adequate steps to satisfy itself that certified copies of the documents used to undertake the relevant elements of CDD will be available from the third party on request without delay;
(c)	the Person in (1)(b) to (d) is subject to regulation, including AML/TFS compliance requirements, by a Non-ADGM Financial Services Regulator or other competent authority in a country with AML/TFS regulations which are equivalent to the standards set out in the FATF Recommendations and it is supervised for compliance with such regulations;
(d)	the Person in (1) has not relied on any exception from the requirement to conduct any relevant elements of CDD which the Relevant Person seeks to rely on; and
(e)	in relation to (2), the information is up to date."
06794d47-81ee-49d0-bf3a-58e87a031da4,32b078c5-682a-457e-9d94-482e8a9af33e,9.1.1(4),Internal,1,1,9.1.2.(1),9.1.1.(4),"When assessing under Rule 9.1.1(3) or (4) if AML/TFS regulations in another jurisdiction are equivalent to FATF standards, a Relevant Person must take into account factors including, but not limited to:
(a)	mutual evaluations, assessment reports or follow-up reports published by FATF, the IMF, the World Bank, the OECD or other International Organisations;
(b)	membership of FATF or other international or regional groups such as the MENAFATF or the Gulf Co-operation Council;
(c)	contextual factors such as political stability or the level of corruption in the jurisdiction;
(d)	evidence of recent criticism of the jurisdiction, including in:
(i)	FATF advisory notices;
(ii)	public assessments of the jurisdictions AML/TFS regimes by organisations referred to in (a); or
(iii)	reports by other relevant non-government organisations or specialist commercial organisations;
(e)	whether adequate arrangements exist for co-operation between the AML/TFS regulator in that jurisdiction and the Regulator.","Where a Relevant Person relies on a member of its Group to conduct one or more of the elements of CDD on its behalf, such Group member need not meet the condition in (3)(c) if:
(a)	the Group is subject to policies and requirements equivalent to FATF standards, either:
(i)	where the Group applies and implements a Group-wide policy on CDD and record-keeping which is equivalent to the standards set by FATF; or
(ii)	where the effective implementation of those CDD and record-keeping requirements and AML/TFS programmes are supervised at Group level by a Non-ADGM Financial Services Regulator or other competent authority in a jurisdiction with AML/TFS regulations that are equivalent to the standards set out in the FATF Recommendations;
(b)	no exception from identification obligations has been applied in the original identification process; and
(c)	a written statement is received from the introducing member of the Relevant Person's Group confirming that:
(i)	the customer has been identified in accordance with the relevant standards under (4)(a) and (b);
(ii)	any identification evidence can be accessed by the Relevant Person without delay; and
(iii)	the identification evidence will be kept for at least six years."
611c820f-2988-4e25-9091-4a3b299501b4,1f815e39-1a9b-4f7d-af18-65b633fed752,9.3.1A,Internal,1,1,9.3.1B.Guidance.2.,9.3.1A,"When undertaking an assurance assessment of an eKYC System for the purpose of Rule 9.3.1A, a Relevant Person should seek to establish that the eKYC System is reliable and independent, and allows the Relevant Person to comply with all applicable Rules of the Regulator. In addition, a Relevant Person should consider applying guidance on assurance standards issued by the Regulator, competent U.A.E. authorities, FATF, and other relevant standard setting bodies.","Prior to appointing a service provider to undertake CDD, a Relevant Person must undertake an initial assurance assessment to evaluate the suitability of the service provider and must ensure that the service provider's obligations are clearly documented in a binding agreement."
1afdc269-d8a5-4953-be55-d3e3a328d89d,,Article 21 of Cabinet Decision No. (74) of 2020,Outsource,1,,11.1.1.Guidance.5.,,"The systems and controls referred to in Rule 11.1.1(1) should enable a Relevant Person to comply with the requirements of Article 21 of Cabinet Decision No. (74) of 2020, which include:
(a)	Registering on the EOCN website to receive updates on changes to Targeted Financial Sanctions lists.
(b)	Regularly screening its databases and transactions against Targeted Financial Sanctions lists as required by the screening scope and timings as set out in the Cabinet Decision.
(c)	Implementing freezing measures without delay or prior notice to the relevant Person(s) if a match is found as a result of the required screening.
(d)	Lifting freezing measures without delay, where necessary.
(e)	Notifying appropriate regulatory authorities of any of the scenarios set out in the Cabinet Decision including confirmed or partial matches against Targeted Financial Sanctions lists.
(f)	Establishing and implementing internal controls and procedures to ensure compliance with the Cabinet Decision.
(g)	Co-operating with the EOCN and relevant regulatory authorities.",
44a95243-3532-4353-a9cb-623faff2e8fa,,Article 21 of Cabinet Decision No. (74) of 2020,Outsource,1,,11.2.1.(4),,The systems and controls referred to in (1) must enable the Relevant Person to comply with the requirements of Article 21 of Cabinet Decision No. (74) of 2020.,
c7866158-9376-4817-b30c-d04cd4689981,,Article 3 of Federal Decree By Law No. 20 of 2018,Outsource,1,,2.Guidance.17.,,"The U.A.E. criminal law. Under Article 3 of Federal Decree By Law No. 20 of 2018, a Relevant Person may be criminally liable for the offence of money laundering if such an activity is intentionally committed in its name or for its account. Relevant Persons are also reminded that:
(a)	the failure to report suspicions of money laundering;
(b)	""tipping off""; and
(c)	assisting in the commission of money laundering,
may each constitute a criminal offence that is punishable under the laws of the U.A.E.",
44115283-c8a3-4906-b380-aeb3195ae6e2,,Basel Committee guidelines,Outsource,1,,2.Guidance.23.,,"Basel Committee Standards. In the event that any of the Basel Committee guidelines conflict with a Rule in the AML Rulebook, the relevant Rule takes precedence.
",
b678dd74-a11d-4f26-81db-5c10268ed81c,,"Basel Committee Standards. Sound Management of Risks related to Money Laundering and Financing of Terrorism, January 2014",Outsource,1,,2.Guidance.22.,,"Basel Committee Standards. The Basel Committee on Banking Supervision has published a set of guidelines for banks (Sound Management of Risks related to Money Laundering and Financing of Terrorism, January 2014) which are intended to supplement FATF Recommendations. Banks operating in the ADGM should read the Basel Committee guidelines in conjunction with FATF Recommendations and in complying with these Rules.",
ce297fc3-80d1-4a50-8d56-a7a5d5d97bb9,,Commercial Licensing Regulations 2015,Outsource,1,,15.3.4,,"Any Person who is a DNFBP upon the making of this Chapter and was previously a Relevant Person prior to the making of this Chapter:
(a)	is deemed to be registered as a DNFBP at the time of the making of this Chapter; and
(b)	must apply for registration under Rule 15.3:
(i)	within 12 months of the making of this Chapter; or
(ii)	at the date of the renewal of its Commercial Licence under the Commercial Licensing Regulations 2015;
whichever comes first.",
07afdef2-3d47-4a33-b540-b9568cb7c356,,FATF Recommendation Number 15,Outsource,1,,10.3.2.Guidance.4.,,"The Regulator expects compliance by Authorised Persons and Recognised Bodies with FATF Recommendation Number 15, FATFs Interpretative Note (R.15/INR.15) and FATF Recommendation Number 16 that include requirements to obtain, hold, and transmit originator and beneficiary information and to not allow transfers where such information is lacking including where the value transfer involves Virtual Assets. Authorised Persons and Recognised Bodies should note that, pursuant to section 10.3, the Regulator does not differentiate between the responsibilities of the originator or the beneficiary when it comes to ensuring that all relevant information accompanies a wire transfer, and that no de minimis threshold is applied to the size of a relevant wire transfer.",
ba67296d-d450-4ea0-844b-4034bd944c5c,,FATF Recommendations and Interpretive Notes,Outsource,1,,2.Guidance.20.,,"Financial Action Task Force Standards. The Regulator has had regard to the FATF Recommendations in making these Rules and has determined to closely align these Rules with the FATF Recommendations, where that is deemed to be necessary and appropriate. A Relevant Person may wish to refer to the FATF Recommendations and Interpretive Notes to assist it in complying with these Rules. However, in the event that a FATF Recommendation or Interpretive Note conflicts with a Rule in the AML Rulebook, the relevant Rule takes precedence.",
