qa_id,question,expected_answer,source_text,target_text,method,split,persona,reference_type,source_passage_pid,target_passage_pid,source_doc_id,target_doc_id,source_doc_title,source_passage_id,target_doc_title,target_passage_id
DPEL_001073,What must a firm do about its Approved Persons if its Financial Services Permission is taken away?,"If a firm's Financial Services Permission is taken away, the approved status of its Approved Persons is also removed on the same date [#SRC:f6881fae-bd99-4d45-8a9a-0cbfbd73ceb3]. Despite this, the firm still needs to give a statement to the Regulator explaining why an Approved Person was dismissed or asked to resign [#TGT:c2f7e341-c3cc-45ac-a6ef-4c730d320176].","Some other matters that a firm should be mindful of in relation to the withdrawal of its Financial Services Permission include: (a) where a firms FSP is withdrawn, the approved status of its Approved Persons will also be withdrawn on the same date. However, this does not remove the obligation on a firm to provide a statement where an Approved Person has been dismissed or requested to resign (under GEN 8.7.3); and (b) where a Fund Manager or the Trustee makes a request for withdrawal (under GEN 8.4.1), the Fund Manager or the Trustee will need to satisfy us that it has made appropriate arrangements in accordance with the requirements under the FUNDS Rules with respect to the continuing management of the Fund for which it is the Fund Manager or the Trustee, as the case may be.","If an Approved Person is dismissed or requested to resign in accordance with Rule ‎8.7.2, a statement of the reason, or reasons, for the dismissal or resignation must be given to the Regulator by the Authorised Person.",DPEL,train,Basic,External,f6881fae-bd99-4d45-8a9a-0cbfbd73ceb3,c2f7e341-c3cc-45ac-a6ef-4c730d320176,27,7,GPM,2.9.5,GEN,8.7.3
DPEL_000842,How do we know if information is Inside Information and how does a reasonable investor's view affect its impact on Securities prices?,"Information is considered Inside Information if it is not generally available, relates to Securities, and would significantly affect their price if it were available [#SRC:06929b81-60bd-4eba-b32e-0cd4da539c58]. It must also be the type of information a reasonable investor would use to make investment decisions [#SRC:06929b81-60bd-4eba-b32e-0cd4da539c58]. The impact on Securities prices is further defined by whether a reasonable investor would likely use the information as part of their investment decision-making process [#TGT:4fb237d1-ed32-4d0c-8f77-32eb47b7c12a]. This ensures the information's significance is evaluated based on its relevance to a reasonable investor.","INSIDE INFORMATION When is information Inside Information? As set out above, section 95(2) of FSMR defines the concept of Inside Information, as including information that it is not generally available, relates to Securities (and Related Instruments) and would, if generally available, have a significant effect on the price of such Securities. Importantly, section 95(6) additionally provides that it is information that a reasonable investor would use as part of the basis of their investment decision.",Information would be likely to have a significant effect on price if and only if it is information of a kind which a reasonable investor would be likely to use as part of the basis of his investment decisions.,DPEL,dev,Basic,External,06929b81-60bd-4eba-b32e-0cd4da539c58,4fb237d1-ed32-4d0c-8f77-32eb47b7c12a,28,17,Guidance - Continuous Disclosure,24),FSMR (Consolidated December 2023),Part 8.95.(6)
DPEL_001403,"What must a Mining Reporting Entity include when sharing financial forecasts and Ore Reserves, especially if some details are sensitive?","A Mining Reporting Entity must include all important economic assumptions and other material assumptions when sharing financial forecasts [#SRC:2c78a258-d9f2-4150-9d2c-ba681d8f9489]. If any assumptions are sensitive, the entity should say so and explain how they were determined [#SRC:2c78a258-d9f2-4150-9d2c-ba681d8f9489]. For Ore Reserves, the entity needs to do a Technical Study, like a feasibility study, and share the main assumptions and results [#TGT:30cf9cda-951e-48ba-9be2-61a889a87464]. This helps ensure all necessary information is clear and complete.","A Mining Reporting Entitys disclosure pursuant to Rule 11.9.1 must include: (1) in relation to the assumptions used to determine the forecast financial information: (a) all material economic assumptions employed; (b) if the Mining Reporting Entity considers the material economic assumptions to be commercially sensitive, a statement to that effect and an explanation of the methodology used to determine the material economic assumptions; and Guidance A Mining Reporting Entity that considers certain information relating to the material economic assumptions to be commercially sensitive should refer to paragraphs 47-54 of the Guidance on Mining and paragraphs 127 and 128 of the Guidance on Continuous Disclosure. (c) all other material assumptions utilised. (2) the Production Target from which the forecast financial information is derived (including all the information contained in Rule 11.8.3).","ORE RESERVES . Pursuant to Rule 11.6.1(1)(a), in order to achieve the required level of confidence in the modifying factors to determine an estimate of Ore Reserves, a Mining Reporting Entity will need to have carried out a relevant Technical Study (preliminary feasibility study or feasibility study ). The key underlying assumptions and outcomes of the Technical Study are also to be disclosed.",DPEL,test,Basic,External,2c78a258-d9f2-4150-9d2c-ba681d8f9489,30cf9cda-951e-48ba-9be2-61a889a87464,11,30,MKT,11.9.2,Guidance - Disclosure Requirements for Mining Reporting Entities,49)
DPEL_000799,When can someone offer securities without needing a Prospectus in the Abu Dhabi Global Market?,"A person can offer securities without needing a Prospectus if the offer is considered an Exempt Offer under the rules specified in section 58(1) of FSMR. This means the offer must meet certain conditions outlined in the Rule to qualify as exempt [#SRC:34251ded-d125-4449-8f23-6ce6f4e54e78]. However, generally, offering securities or having them traded on a Recognised Investment Exchange in the Abu Dhabi Global Market is not allowed unless it follows the specific regulations [#TGT:67094ff0-5048-4e6e-87e4-bb61836c324a].","This section prescribes the type of Offer of Securities that is an Exempt Offer. Pursuant to section 58(1) of FSMR, a Person may make an Offer of Securities in the circumstances specified in this Rule without a Prospectus.",A person shall not— (a) make an Offer of Securities in the Abu Dhabi Global Market; or (b) have Securities admitted to trading on a Recognised Investment Exchange; except as provided by or under these Regulations.,DPEL,train,Basic,External,34251ded-d125-4449-8f23-6ce6f4e54e78,67094ff0-5048-4e6e-87e4-bb61836c324a,11,17,MKT,4.3.Guidance,FSMR (Consolidated December 2023),Part 6.Chapter 1.58.(1)
DPEL_001316,"What must a PFP Applicant show to get authorised for Regulated Activities, according to both the Threshold Conditions and the Regulator's rules?","To get authorised for Regulated Activities, a PFP Applicant must meet several key conditions. The applicant needs to have adequate and appropriate resources, including financial ones, as required by the FSRA [#SRC:05a7c46a-5ae7-46dc-9959-0022589fb3c0]. It must also be fit and proper, capable of being effectively supervised, and have compliance arrangements that include policies and procedures to meet all legal requirements, including the Rules [#TGT:af65ff3c-f0e5-4696-bfa9-e84675e773cb]. These conditions ensure the applicant is ready to operate under regulatory oversight.","The Threshold Conditions set out in GEN Rule 5.2.7, require a PFP Applicant to demonstrate to the satisfaction of the FSRA that it: (a) has adequate and appropriate resources, including financial resources; (b) is fit and proper; (c) is capable of being effectively supervised; and (d) has adequate compliance arrangements, including policies and procedures, that will enable it to comply with all the applicable legal requirements.","Consideration and assessment of applications: In order to become authorised to carry on one or more Regulated Activities, the applicant must demonstrate to the satisfaction of the Regulator that it: (1) has adequate and appropriate resources, including financial resources; (2) is fit and proper; (3) is capable of being effectively supervised; and (4) has adequate compliance arrangements, including policies and procedures, that will enable it to comply with all the applicable legal requirements, including the Rules.",DPEL,train,Basic,External,05a7c46a-5ae7-46dc-9959-0022589fb3c0,af65ff3c-f0e5-4696-bfa9-e84675e773cb,35,7,Guidance - Regulatory Framework for PFP and Multilateral Trading Facilities dealing with Private Capital Markets,4.3,GEN,5.2.7
DPEL_000948,"When can the Appeals Panel make someone pay costs, and what else can they decide at the end of a case?","The Appeals Panel can make someone pay costs if the case ends and their decision is upheld [#SRC:fefc3e99-5697-4eb6-a568-b1322143a913]. They can order a party to pay all or part of the costs, including those of any other party involved [#TGT:0004e77f-2f53-45e8-9aab-1bcc7a8f88b5]. Besides costs, they can use the Regulator's powers, tell someone to stop breaking rules, require actions, or stop someone from holding office in a company in the Abu Dhabi Global Market [#TGT:0004e77f-2f53-45e8-9aab-1bcc7a8f88b5].","Costs in proceedings before the Appeals Panel. The Appeals Panel, on conclusion of any proceedings before it, may make an order (under section 229(2)(e) of FSMR) requiring a party to the appeal to pay a specified amount, being all or part of the costs of the proceedings, including those of any party to the proceedings. We will generally seek costs in matters that are referred to the Appeals Panel and where our decision has been upheld.","At the conclusion of any proceedings commenced under sections 226 and ‎227, the Appeals Panel may do one or more of the following— (a) exercise any of the powers of the Regulator under these Regulations or Rules made by the Regulator; (b) make an order requiring a party to the reference to cease and desist from any contravention of these Regulations or Rules; (c) make an order requiring the party to the reference to do an act or thing; (d) make an order prohibiting the party to the reference from holding office at any Body Corporate carrying on business in the Abu Dhabi Global Market; or (e) make an order requiring a party to the reference to pay a specified amount, being all or part of the costs of the reference, including those of any party to the reference. Costs ordered to be paid under this subsection shall be enforceable as a civil debt.",DPEL,dev,Basic,External,fefc3e99-5697-4eb6-a568-b1322143a913,0004e77f-2f53-45e8-9aab-1bcc7a8f88b5,27,17,GPM,9.8.6,FSMR (Consolidated December 2023),Part 19.Chapter 1.229.(2)
DPEL_000584,"What must a Reporting Entity do each year for their financial report, and why is it important to follow the Rules?","Each year, a Reporting Entity must prepare and file an annual financial report with the Regulator [#SRC:807de7e5-9f29-42d9-bf38-2e96beeea347]. It is crucial to follow the Rules because they provide the specific requirements that ensure the report meets regulatory standards [#TGT:3bca170f-d68a-4646-be80-ea962f6c7a80]. This compliance helps maintain transparency and accountability in financial reporting.",Section 78 of the FSMR provides that a Reporting Entity shall prepare and file with the Regulator an annual financial report in accordance with the requirements prescribed in these Rules.,Financial reports. Annual financial report A Reporting Entity shall prepare and file with the Regulator an annual financial report in accordance with the requirements prescribed in the Rules.,DPEL,dev,Basic,External,807de7e5-9f29-42d9-bf38-2e96beeea347,3bca170f-d68a-4646-be80-ea962f6c7a80,11,17,MKT,10.Guidance.1.,FSMR (Consolidated December 2023),Part 6.Chapter 2.78.
DPEL_000458,How often must an Authorised Person check their records for virtual assets and client accounts with other agents?,An Authorised Person must check their records of a Client's Accepted Virtual Asset holdings every week [#SRC:0fb3a173-21f7-447a-9b86-6c07aede7c32]. They also need to compare their records of Client Accounts held with Third Party Agents with the monthly statements from those agents every month [#TGT:99a621ce-b3ab-4dbc-a9c7-eac1065776e6]. These checks help ensure that all records are accurate and up-to-date.,"AUTHORISED PERSONS PROVIDING CUSTODY OF VIRTUAL ASSETS Safe Custody of Clients Virtual Assets Authorised Persons operating as Virtual Asset Custodians are required, with respect to the Accepted Virtual Assets they hold under custody for Clients, to: a) Send out statements of a Clients Accepted Virtual Assets holdings to Retail Clients at least monthly (as required under COBS Rule 15.8.1(a)); and b) Carry out all reconciliations of a Clients Accepted Virtual Asset holdings at least every week (as required under COBS Rule 15.9.1).","An Authorised Person must: (a) at least every calendar month, reconcile its records of Client Accounts held with Third Party Agents with monthly statements received from those Third Party Agents; (b) at least every six months, count all Safe Custody Assets physically held by the Authorised Person, or its Nominee Company, and reconcile the result of that count to the records of the Authorised Person; and (c) at least every six months, reconcile individual Client ledger balances with the Authorised Person's records of Safe Custody Assets balances held in Client Accounts.",DPEL,test,Basic,External,0fb3a173-21f7-447a-9b86-6c07aede7c32,99a621ce-b3ab-4dbc-a9c7-eac1065776e6,19,3,Guidance - Virtual Asset Activities in ADGM,153),CoBs,15.9.1
DPEL_000438,When don't the ad rules in Rule 4.12.1 apply to offers of securities?,"The ad rules in Rule 4.12.1 don't apply to offers of securities when the communication is about trading on a Recognised Investment Exchange or Regulated Exchange, or if it's for meeting ongoing reporting needs of a Recognised Investment Exchange or the Regulator [#SRC:53839ad9-8f67-41e3-8914-6b2a71d0975f]. Also, if the communication is an Exempt Communication as per Rule 4.2.1, the ad rules don't apply [#SRC:53839ad9-8f67-41e3-8914-6b2a71d0975f]. This matches the definition of an Offer of Securities, which excludes similar types of communications [#TGT:35fa228f-ac9c-4d5f-82af-61d001921310].","The requirements relating to advertisements in Rule 4.12.1 do not apply, due to the definitional exclusion provided in section 59 of the FSMR, to any communication: a. made in connection with the trading of Securities on a Recognised Investment Exchange or Regulated Exchange; b. made for the purposes of complying with the on going reporting requirements of a Recognised Investment Exchange or the Regulator; or c. which is an Exempt Communication as defined in Rule 4.2.1.","General prohibitions and definitions. Definition of an Offer of Securities An Offer of Securities means a communication to any person in any form or by any means, presenting information on the terms of the Offer and the Securities offered, so as to enable an investor to decide to buy or subscribe to those Securities but excluding— (a) any communication in connection with the trading of Securities admitted to trading on a Recognised Investment Exchange; (b) any communication made for the purposes of complying with the on going reporting requirements of the Regulator or a Recognised Investment Exchange; or (c) any other communication prescribed in Rules as an exempt communication.",DPEL,dev,Basic,External,53839ad9-8f67-41e3-8914-6b2a71d0975f,35fa228f-ac9c-4d5f-82af-61d001921310,11,17,MKT,4.12.1.Guidance,FSMR (Consolidated December 2023),Part 6.Chapter 1.59.
DPEL_000417,Do the rules in chapter 4 about Prospectuses apply when someone offers Units of Funds?,"The rules in chapter 4 about Prospectuses do not apply when someone offers Units of Funds, as these are covered by the Fund Rules instead [#SRC:254251bf-b846-4357-af1b-961bfa5fff94]. Also, the provisions of the Chapter do not apply to a person making an Offer of a Unit [#TGT:07edf917-eba6-4ad8-8173-a8d5bc0ec58a].",The Prospectus requirements including content and structure in chapter 4 of this Rulebook do not apply to Prospectuses relating to Units of Funds. Prospectus requirements that apply to an Offer of Units of Funds are found in the Fund Rules. Section 57(1) of FSMR disapplies chapter 4 of this Rulebook to Fund Prospectuses.,The provisions in this Chapter and the Rules made for the purposes of this Chapter shall not apply to a person in relation to making an Offer of a Unit.,DPEL,dev,Basic,External,254251bf-b846-4357-af1b-961bfa5fff94,07edf917-eba6-4ad8-8173-a8d5bc0ec58a,11,17,MKT,3.3.Guidance.1.,FSMR (Consolidated December 2023),Part 6.Chapter 1.57.(1)
